Row Labels,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Grand Total
Classical,1,3,0,1,1,0,1,0,7
Country,0,14,0,13,4,2,6,3,42
Electronic,0,3,0,3,1,0,5,4,16
Folk,0,15,0,6,2,2,11,3,39
Indigenous,0,0,5,0,0,0,0,0,5
Jazz,0,6,0,2,1,1,9,1,20
K-Pop,0,1,0,0,0,0,0,0,1
Multiple Genres,6,102,7,60,30,9,76,53,343
Rock,1,6,1,7,,1,2,1,19
,,,,,,,,,
Grand Total,8,150,13,92,39,15,110,65,492
